matchYear,matchID,leftTeam,leftScore,rightTeam,rightScore,refName,leftPenalties,rightPenalties
2010,709,Reds,41,Crusaders,20,Craig Joubert,12,14
2010,710,Sharks,20,Cheetahs,25,Jonathan Kaplan,11,19
2010,711,Lions,65,Chiefs,72,Marius Jonker,12,22
2010,712,Hurricanes,47,Force,22,Vinny Munro,13,10
2010,713,Bulls,50,Brumbies,32,Mark Lawrence,11,16
2010,714,Stormers,27,NSW Waratahs,6,Keith Brown,17,14
2010,715,Crusaders,35,Sharks,6,Chris Pollock,6,11
2010,716,Stormers,17,Brumbies,19,Craig Joubert,13,16
2010,717,Hurricanes,33,Lions,18,Nathan Pearce,14,16
2010,718,Reds,18,Blues,27,Steve Walsh,5,7
2010,719,Force,19,Chiefs,37,Jaco Peyper,10,9
2010,720,Cheetahs,24,Highlanders,31,Pro Legoete,10,17
2010,721,Bulls,48,NSW Waratahs,38,Marius Jonker,4,13
2010,722,Chiefs,18,Reds,23,Chris Pollock,9,10
2010,723,Brumbies,24,Lions,13,Steve Walsh,7,19
2010,724,Crusaders,33,Blues,20,Keith Brown,11,9
2010,725,NSW Waratahs,25,Sharks,21,Paul Marks,6,6
2010,727,Cheetahs,28,Hurricanes,12,Bryce Lawrence,11,10
2010,728,Chiefs,19,Crusaders,26,Mark Lawrence,9,13
2010,729,NSW Waratahs,73,Lions,12,Vinny Munro,15,10
2010,730,Brumbies,24,Sharks,22,Garratt Williamson,9,13
2010,732,Stormers,37,Hurricanes,13,Steve Walsh,8,7
2010,733,Reds,50,Force,10,Ian Smith,14,10
2010,734,Blues,39,Brumbies,34,Mark Lawrence,13,9
2010,735,Bulls,19,Hurricanes,18,Nathan Pearce,7,14
2010,736,Crusaders,46,Lions,19,Keith Brown,10,12
2010,737,Highlanders,16,Sharks,30,Jonathon White,8,9
2010,738,Force,10,NSW Waratahs,14,Jaco Peyper,14,7
2010,739,Stormers,21,Cheetahs,8,Chris Pollock,10,6
2010,740,Highlanders,39,Lions,29,Stuart Dickinson,15,19
2010,741,Brumbies,30,Chiefs,23,Jaco Peyper,6,10
2010,742,Cheetahs,10,Reds,31,Vinny Munro,11,13
2010,743,Hurricanes,26,Sharks,29,Ian Smith,11,13
2010,744,NSW Waratahs,39,Blues,32,Garratt Williamson,7,11
2010,745,Force,15,Bulls,28,Steve Walsh,15,11
2010,746,Hurricanes,26,Crusaders,26,Jonathan Kaplan,15,11
2010,747,Force,16,Stormers,15,Stuart Dickinson,8,15
2010,748,Blues,32,Bulls,17,Craig Joubert,12,17
2010,749,Chiefs,27,Highlanders,21,Marius Jonker,10,8
2010,750,NSW Waratahs,40,Cheetahs,17,Bryce Lawrence,13,16
2010,751,Sharks,30,Reds,28,Chris Pollock,8,14
2010,752,Chiefs,19,Bulls,33,Dave Pearson,12,8
2010,753,Highlanders,27,Force,41,Marius Jonker,6,11
2010,754,Blues,21,Stormers,33,Stuart Dickinson,8,13
2010,755,Crusaders,20,NSW Waratahs,13,Craig Joubert,11,14
2010,756,Brumbies,61,Cheetahs,15,Bryce Lawrence,8,14
2010,757,Lions,26,Reds,41,Mark Lawrence,3,11
2010,758,Chiefs,15,Stormers,49,Steve Walsh,15,9
2010,759,Brumbies,13,Hurricanes,23,Jonathan Kaplan,12,15
2010,792,Bulls,39,Crusaders,24,Stuart Dickinson,8,12
2010,793,Stormers,25,NSW Waratahs,6,Mark Lawrence,13,13
2010,794,Bulls,25,Stormers,17,Craig Joubert,8,9
2011,800,Hurricanes,9,Highlanders,14,Bryce Lawrence,14,13
2011,801,Rebels,0,NSW Waratahs,43,Mark Lawrence,15,10
2011,802,Blues,24,Crusaders,22,Chris Pollock,9,10
2011,803,Brumbies,28,Chiefs,20,Jonathan Kaplan,12,12
2011,804,Sharks,24,Cheetahs,9,Steve Walsh,10,17
2011,805,Lions,20,Bulls,24,Marius Jonker,9,11
2011,806,Reds,21,Force,20,Ian Smith,11,13
2011,807,Highlanders,23,Chiefs,13,Mark Lawrence,9,17
2011,808,Rebels,25,Brumbies,24,Jonathan Kaplan,12,11
2011,809,Cheetahs,23,Bulls,25,Craig Joubert,13,10
2011,811,NSW Waratahs,30,Reds,6,Bryce Lawrence,10,12
2011,812,Sharks,26,Blues,12,Jaco Peyper,13,9
2011,813,Stormers,19,Lions,16,Stuart Dickinson,12,19
2011,814,Crusaders,33,NSW Waratahs,18,Chris Pollock,13,10
2011,815,Lions,32,Blues,41,Jonathan Kaplan,5,13
2011,816,Chiefs,38,Rebels,10,Vinny Munro,13,13
2011,817,Brumbies,25,Reds,31,Mark Lawrence,14,12
2011,818,Force,12,Sharks,39,Keith Brown,13,10
2011,819,Stormers,21,Cheetahs,15,Pro Legoete,14,14
2011,820,Bulls,28,Highlanders,35,Stuart Dickinson,7,18
2011,821,Crusaders,52,Brumbies,10,Garratt Williamson,12,10
2011,822,Rebels,32,Sharks,34,Chris Pollock,14,7
2011,823,Stormers,18,Highlanders,6,Steve Walsh,17,12
2011,824,Hurricanes,29,Chiefs,26,Marius Jonker,8,6
2011,825,Force,22,Blues,22,Nathan Pearce,13,13
2011,826,Cheetahs,20,Lions,25,Keith Brown,13,12
2011,827,Chiefs,15,Sharks,9,Garratt Williamson,9,10
2011,828,Reds,53,Rebels,3,Stuart Dickinson,10,13
2011,829,Highlanders,13,Crusaders,44,Marius Jonker,14,14
2011,830,Blues,41,Hurricanes,17,Vinny Munro,10,10
2011,831,NSW Waratahs,3,Cheetahs,23,Chris Pollock,9,7
2011,832,Lions,15,Force,27,Mark Lawrence,12,11
2011,833,Bulls,13,Stormers,23,Keith Brown,13,8
2011,835,Rebels,42,Hurricanes,25,Jaco Peyper,13,11
2011,836,Reds,41,Cheetahs,8,Keith Brown,11,8
2011,837,Chiefs,13,Blues,16,Ian Smith,16,7
2011,838,Brumbies,22,NSW Waratahs,29,Marius Jonker,6,16
2011,840,Stormers,51,Force,16,Pro Legoete,13,12
2011,839,Bulls,30,Lions,23,Chris Pollock,15,13
2011,834,Crusaders,44,Sharks,28,Steve Walsh,9,7
2011,841,Highlanders,26,Brumbies,20,Stuart Dickinson,11,8
2011,842,NSW Waratahs,23,Chiefs,16,Jaco Peyper,11,10
2011,843,Blues,29,Cheetahs,22,Bryce Lawrence,9,8
2011,844,Hurricanes,14,Bulls,26,Steve Walsh,10,13
2011,845,Force,25,Rebels,26,Craig Joubert,7,13
2011,846,Lions,25,Reds,30,Vinny Munro,7,14
2011,847,Sharks,6,Stormers,16,Mark Lawrence,7,7
2011,848,Highlanders,24,Cheetahs,21,Nathan Pearce,9,8
2011,849,Crusaders,27,Bulls,0,Jonathon White,11,9
2011,850,Brumbies,17,Hurricanes,16,Craig Joubert,6,17
2011,851,Force,3,NSW Waratahs,31,Garratt Williamson,6,10
2011,852,Stormers,6,Reds,19,Jaco Peyper,8,13
2011,853,Sharks,27,Lions,3,Jonathan Kaplan,12,12
2011,854,Chiefs,16,Crusaders,34,Craig Joubert,7,8
2011,856,Rebels,18,Highlanders,40,Garratt Williamson,10,10
2011,857,Blues,31,NSW Waratahs,17,Mark Lawrence,9,2
2011,858,Reds,39,Bulls,30,Bryce Lawrence,9,8
2011,859,Lions,19,Stormers,33,Marius Jonker,9,8
2011,860,Cheetahs,47,Hurricanes,50,Stuart Dickinson,7,7
2011,861,Brumbies,19,Force,27,Keith Brown,6,13
2011,862,Blues,40,Rebels,23,Jonathon White,10,10
2011,863,Crusaders,18,Highlanders,26,Bryce Lawrence,9,4
2011,864,Reds,19,NSW Waratahs,15,Steve Walsh,10,6
2011,865,Force,26,Bulls,21,Mark Lawrence,9,12
2011,866,Sharks,40,Hurricanes,24,Stuart Dickinson,9,9
2011,867,Lions,30,Chiefs,34,Marius Jonker,7,15
2011,868,Highlanders,10,Blues,15,Chris Pollock,14,11
2011,872,Cheetahs,47,Brumbies,36,Marius Jonker,11,11
